Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,29,173","3,30,472","3,79,291","3,73,236","3,84,166","3,80,687","3,77,062","3,86,763","3,67,426","3,71,870","3,83,551","4,43,079","45,06,776",,
,Retail sales and food services excl motor vehicle and parts,"2,72,599","2,69,461","3,05,875","3,05,242","3,16,411","3,12,069","3,09,406","3,17,013","3,01,873","3,07,308","3,20,872","3,73,432","37,11,561",,
,Retail sales and food services excl gasoline stations,"2,91,239","2,93,882","3,35,034","3,27,476","3,36,019","3,33,269","3,28,963","3,38,547","3,22,086","3,26,863","3,40,686","4,00,442","39,74,506",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,34,665","2,32,871","2,61,618","2,59,482","2,68,264","2,64,651","2,61,307","2,68,797","2,56,533","2,62,301","2,78,007","3,30,795","31,79,291",,
,"Retail sales, total","2,93,047","2,93,924","3,38,211","3,32,456","3,42,186","3,39,682","3,34,800","3,45,374","3,27,093","3,30,515","3,44,774","4,01,206","40,23,268",,
44611,Pharmacies and drug stores,"19,358","19,100","19,183","19,084","19,318","19,264","19,227","19,321","19,328","19,401","19,342","19,273",,,
447,Gasoline stations,"41,732","42,203","43,689","44,557","45,166","44,524","44,702","44,978","44,980","44,739","45,456","45,214",,,
448,Clothing and clothing access. stores,"17,928","18,147","18,203","18,533","18,372","18,735","18,564","18,448","19,039","18,697","18,832","19,041",,,
4481,Clothing stores,"13,214","13,467","13,447","13,571","13,480","13,795","13,675","13,479","13,978","13,785","13,939","14,092",,,
44811,Men's clothing stores,603,612,636,627,634,647,630,603,646,649,651,666,,,
44812,Women's clothing stores,"3,136","3,254","3,232","3,242","3,255","3,366","3,300","3,108","3,319","3,261","3,303","3,368",,,
4482,Shoe stores,"2,342","2,348","2,322","2,362","2,371","2,446","2,399","2,408","2,469","2,457","2,469","2,516",,,
44831,Jewelry stores,"2,197","2,161","2,253","2,418","2,349","2,319","2,310","2,382","2,414","2,278","2,248","2,261",,,
451,"Sporting goods, hobby, musical instrument, and book stores","6,292","6,346","6,282","6,342","6,268","6,287","6,209","6,374","6,410","6,322","6,241","6,095",,,
452,General merchandise stores,"50,726","51,301","51,474","51,833","51,627","52,347","51,992","51,984","52,422","52,278","52,496","52,334",,,
4522,Department stores,"15,193","15,361","15,224","15,443","15,230","15,623","15,247","15,076","15,266","15,181","15,247","15,244",,,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"35,533","35,940","36,250","36,390","36,397","36,724","36,745","36,908","37,156","37,097","37,249","37,090",,,
