Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,91,738","3,81,513","4,38,118","4,31,604","4,56,436","4,41,657","4,51,579","4,49,793","4,24,822","4,38,395","4,37,204","5,06,151","52,49,010",
,Retail sales and food services excl motor vehicle and parts,"3,14,015","3,02,889","3,42,583","3,38,765","3,59,742","3,47,748","3,54,414","3,52,413","3,34,499","3,48,445","3,53,463","4,13,296","41,62,272",
,Retail sales and food services excl gasoline stations,"3,58,677","3,49,308","4,00,608","3,93,765","4,14,302","3,98,904","4,07,712","4,07,869","3,87,246","4,00,380","4,03,240","4,72,586","47,94,597",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,80,954","2,70,684","3,05,073","3,00,926","3,17,608","3,04,995","3,10,547","3,10,489","2,96,923","3,10,430","3,19,499","3,79,731","37,07,859",
,"Retail sales, total","3,44,632","3,35,752","3,85,954","3,80,319","4,02,126","3,90,651","3,99,519","3,97,745","3,75,199","3,85,581","3,88,071","4,52,764","46,38,313",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,66,909","2,57,128","2,90,419","2,87,480","3,05,432","2,96,742","3,02,354","3,00,365","2,84,876","2,95,631","3,04,330","3,59,909","35,51,575",
4441,Building mat. and supplies dealers,"22,854","22,036","22,974","23,100","23,027","22,819","23,584","23,596","23,454","23,556","23,919","24,548",,
445,Food and beverage stores,"56,455","56,523","56,498","56,410","56,471","56,703","56,926","56,841","56,710","56,531","56,825","56,717",,
4451,Grocery stores,"50,949","51,027","50,972","50,830","50,928","51,137","51,301","51,214","51,114","50,985","51,259","51,053",,
4453,"Beer, wine and liquor stores","3,883","3,887","3,945","3,917","3,936","3,937","3,985","3,987","3,956","3,953","3,975","4,051",,
446,Health and personal care stores,"24,857","24,629","25,209","24,774","24,747","24,913","25,141","25,292","25,608","25,419","25,556","25,784",,
44611,Pharmacies and drug stores,"20,918","20,744","21,400","20,932","20,933","21,029","21,166","21,325","21,885","21,485","21,604","21,806",,
447,Gasoline stations,"36,531","37,755","38,276","37,688","39,194","39,696","40,208","39,108","36,803","36,483","36,017","35,784",,
448,Clothing and clothing access. stores,"20,607","20,769","20,812","20,917","21,080","20,809","21,033","21,077","20,877","20,749","20,779","20,918",,
4481,Clothing stores,"15,041","15,194","15,265","15,332","15,440","15,186","15,358","15,459","15,342","15,192","15,202","15,194",,
44811,Men's clothing stores,753,782,755,760,758,755,764,791,760,756,758,782,,
44812,Women's clothing stores,"3,339","3,291","3,291","3,240","3,331","3,290","3,307","3,367","3,264","3,301","3,264","3,358",,
4482,Shoe stores,"2,852","2,875","2,870","2,853","2,938","2,873","2,942","2,913","2,960","2,968","2,934","3,007",,
44831,Jewelry stores,"2,508","2,515","2,493","2,522","2,519","2,565","2,540","2,519","2,385","2,400","2,450","2,508",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,656","6,696","6,787","6,796","6,851","6,793","6,847","6,882","6,912","6,819","6,906","7,051",,
